external_gene_name,log2FoldChange,padj,baseMean
RPS3AP3,3.031739266,0.000331658,15.76003244
TMEM45B,-3.662634128,0.000332302,427.2102397
TNRC18P1,-4.221262981,0.000334737,1159.341816
NR1D1,-1.611623045,0.000335871,1244.19249
RPS8P5,3.591388928,0.000344379,22.14562486
ULBP3,2.683087979,0.00034492,152.9575527
OR7E126P,2.389921931,0.00034492,190.5703899
PGLYRP2,-5.777728964,0.000346594,978.9452633
ERVV-2,5.358574505,0.000346594,28.14684664
SCNN1A,-2.578755918,0.000351134,9987.696052
GDF5,4.761578986,0.000354351,50.18587818
,2.72991588,0.000355816,35.58415457
SLC18A2-AS1,-4.985965748,0.000358291,26.20109164
FFAR2,-4.1858369,0.000358291,160.4419318
MYO3B,4.012005831,0.000359369,166.237196
,2.151171094,0.000361581,123.4633933
PRRT1B,-4.566217552,0.000361581,528.1876335
CPLANE2,-1.894091062,0.000361795,326.1293605
